編號,建物,校區
A01,行政中心,蘭潭校區
A02,森林館,蘭潭校區
A03,動物科學館,蘭潭校區
A04,農園館,蘭潭校區
A05,農園館,蘭潭校區
A05,工程館,蘭潭校區
A06,食品科學館,蘭潭校區
A07,嘉禾館,蘭潭校區
A08,瑞穗館,蘭潭校區
A09,蘭潭游泳池,蘭潭校區
A10,產學中心,蘭潭校區
A11,木材利用工廠,蘭潭校區
A12,畜牧場,蘭潭校區
A13,運動器材室,蘭潭校區
A14,學生活動中心,蘭潭校區
A15,電物一館,蘭潭校區
A16,理工教學大樓,蘭潭校區
A17,理化館,蘭潭校區
A18A,應化二館,蘭潭校區
A18B,電物二館,蘭潭校區
A19,農藝場管理室,蘭潭校區
A20,國際交流學園,蘭潭校區
A21,水工及材料試驗場,蘭潭校區
A22,食品加工廠,蘭潭校區
A23,機電館,蘭潭校區
A23A,能源與感測中心,蘭潭校區
A24,生物資源館,蘭潭校區
A25,生命科學館,蘭潭校區
A26,生物農業科技一館,蘭潭校區
A27,植物醫學系,蘭潭校區
A28,水生生物科學館,蘭潭校區
A29,園藝場管理室,蘭潭校區
A30,園藝技藝中心,蘭潭校區
A31,圖書資訊館,蘭潭校區
A32,綜合教學大樓,蘭潭校區
A33,生物農業科技二館,蘭潭校區
A34,嘉大植物園,蘭潭校區
A35,生技健康館,蘭潭校區
A36,農學院暨景觀學系大樓,蘭潭校區
A37,森林生物多樣性館,蘭潭校區
A38,動物產品研發推廣中心,蘭潭校區
A39,學生活動廣場,蘭潭校區
A40,焚化爐設備車倉庫,蘭潭校區
A41,生物機械產業實驗室,蘭潭校區
A44,有機蔬菜一樓,蘭潭校區
A45,蝴蝶蘭培育室一樓,蘭潭校區
A46,魚類保育研究中心,蘭潭校區
A71,員工單身宿舍,蘭潭校區
A72,學生餐廳,蘭潭校區
A73,學生一舍,蘭潭校區
A74,學生二舍,蘭潭校區
A75,學生三舍,蘭潭校區
A76,學生五舍,蘭潭校區
A77,學生六舍,蘭潭校區
A78,農產品展售中心,蘭潭校區
A79,綠建築招待所,蘭潭校區
A80,嘉大昆蟲館,蘭潭校區
A81,蘭潭招待所,蘭潭校區
A82,蘭潭警衛室,蘭潭校區
E01,林場實習館,蘭潭校區
B01,創意樓,民雄校區
B02,大學館,民雄校區
B03,教育館,民雄校區
B04,新藝樓,民雄校區
B05,變電站,民雄校區
B06,民雄警衛室,民雄校區
B07,鍋爐間,民雄校區
B08,民雄司令台,民雄校區
B09,加氯室,民雄校區
B10,民雄游泳池,民雄校區
BA,行政大樓,民雄校區
BB,初等教育館,民雄校區
BC,圖書館,民雄校區
BD,樂育堂,民雄校區
BE,學人單身宿舍,民雄校區
BF,綠園二舍,民雄校區
BG,餐廳,民雄校區
BH,綠園一舍,民雄校區
BI,科學館,民雄校區
BJ,人文館,民雄校區
BK,音樂館,民雄校區
BL,藝術館,民雄校區
BM,文薈廳,民雄校區
BN,社團教室,民雄校區
D01,管理學院大樓A棟,新民校區
D02,管理學院大樓B棟,新民校區
D03,明德樓,新民校區
D04,獸醫館,新民校區
D04,嘉大動物醫院,新民校區
D05,新民司令台,新民校區
D06,新民警衛室,新民校區
D07,新民游泳池,新民校區
DX,溫室,新民校區
C01,林森警衛室,林森校區
C02,林森司令台,林森校區
CA,第一棟大樓,林森校區
CB,行政大樓,林森校區
CD,國民輔導大樓,林森校區
CE,第二棟大樓,林森校區
CF,實輔室,林森校區
CG,圖書館,林森校區
CH,視聽教室,林森校區
CI,明德齋,林森校區
CK,餐廳,林森校區
CL,青雲齋,林森校區
CN,樂育堂,林森校區
CP,空大學習指導中心,林森校區
F01,嘉大進德樓,林森校區
